:START_ID(Customer),:END_ID(Film),rentalDate,:TYPE
6,858,2005-05-25 08:43:32.000,WATCHED
323,670,2005-05-25 08:53:14.000,WATCHED
408,633,2005-05-25 08:56:42.000,WATCHED
470,73,2005-05-25 08:58:25.000,WATCHED
250,915,2005-05-25 09:01:57.000,WATCHED
419,58,2005-05-25 09:18:52.000,WATCHED
383,873,2005-05-25 09:19:16.000,WATCHED
368,16,2005-05-25 09:21:29.000,WATCHED
346,776,2005-05-25 09:32:03.000,WATCHED
86,257,2005-05-25 09:35:12.000,WATCHED
119,54,2005-05-25 09:41:01.000,WATCHED
120,878,2005-05-25 09:47:31.000,WATCHED
305,705,2005-05-25 10:10:14.000,WATCHED
73,468,2005-05-25 10:15:23.000,WATCHED
100,525,2005-05-25 10:26:39.000,WATCHED
48,489,2005-05-25 10:52:13.000,WATCHED
391,114,2005-05-25 11:00:07.000,WATCHED
265,379,2005-05-25 11:09:48.000,WATCHED
510,745,2005-05-25 11:13:34.000,WATCHED
1,663,2005-05-25 11:30:37.000,WATCHED
451,287,2005-05-25 11:31:59.000,WATCHED
135,887,2005-05-25 11:35:18.000,WATCHED
245,726,2005-05-25 12:11:07.000,WATCHED
314,543,2005-05-25 12:12:07.000,WATCHED
286,572,2005-05-25 12:15:19.000,WATCHED
427,304,2005-05-25 12:17:46.000,WATCHED
131,103,2005-05-25 12:30:15.000,WATCHED
492,397,2005-05-25 12:36:30.000,WATCHED
414,103,2005-05-25 13:05:34.000,WATCHED
266,491,2005-05-25 13:36:12.000,WATCHED
331,348,2005-05-25 13:52:43.000,WATCHED
53,480,2005-05-25 14:13:54.000,WATCHED
499,471,2005-05-25 14:28:29.000,WATCHED
25,654,2005-05-25 14:31:25.000,WATCHED
267,28,2005-05-25 14:57:22.000,WATCHED
302,169,2005-05-25 15:38:46.000,WATCHED
288,951,2005-05-25 15:54:16.000,WATCHED
197,366,2005-05-25 16:03:42.000,WATCHED
400,39,2005-05-25 16:12:52.000,WATCHED
49,748,2005-05-25 16:32:19.000,WATCHED
263,284,2005-05-25 16:34:24.000,WATCHED
269,651,2005-05-25 16:48:24.000,WATCHED
44,117,2005-05-25 16:50:20.000,WATCHED
208,571,2005-05-25 16:50:28.000,WATCHED
468,134,2005-05-25 17:17:04.000,WATCHED
343,82,2005-05-25 17:22:10.000,WATCHED
384,735,2005-05-25 17:30:42.000,WATCHED
310,932,2005-05-25 17:46:33.000,WATCHED
108,173,2005-05-25 17:54:12.000,WATCHED
196,791,2005-05-25 18:18:19.000,WATCHED
317,621,2005-05-25 18:28:09.000,WATCHED
242,724,2005-05-25 18:30:05.000,WATCHED
503,233,2005-05-25 18:40:20.000,WATCHED
19,893,2005-05-25 18:43:49.000,WATCHED
227,814,2005-05-25 18:45:19.000,WATCHED
500,465,2005-05-25 18:57:24.000,WATCHED
93,649,2005-05-25 19:07:40.000,WATCHED
506,982,2005-05-25 19:12:42.000,WATCHED
455,164,2005-05-25 19:13:25.000,WATCHED
18,973,2005-05-25 19:27:51.000,WATCHED
7,931,2005-05-25 19:30:46.000,WATCHED
524,191,2005-05-25 19:31:18.000,WATCHED
51,300,2005-05-25 19:37:02.000,WATCHED
365,8,2005-05-25 19:37:47.000,WATCHED
405,234,2005-05-25 19:41:29.000,WATCHED
273,638,2005-05-25 19:46:21.000,WATCHED
43,390,2005-05-25 20:26:42.000,WATCHED
246,48,2005-05-25 20:46:11.000,WATCHED
368,212,2005-05-25 20:48:50.000,WATCHED
439,445,2005-05-25 21:07:59.000,WATCHED
94,440,2005-05-25 21:10:40.000,WATCHED
40,941,2005-05-25 21:19:53.000,WATCHED
23,902,2005-05-25 21:20:03.000,WATCHED
56,869,2005-05-25 21:21:56.000,WATCHED
325,177,2005-05-25 21:42:46.000,WATCHED
479,738,2005-05-25 21:46:54.000,WATCHED
237,89,2005-05-25 21:48:30.000,WATCHED
222,491,2005-05-25 21:48:41.000,WATCHED
304,21,2005-05-25 21:58:58.000,WATCHED
504,500,2005-05-25 22:02:30.000,WATCHED
560,569,2005-05-25 22:25:18.000,WATCHED
586,898,2005-05-25 22:48:22.000,WATCHED
257,73,2005-05-25 23:00:21.000,WATCHED
354,142,2005-05-25 23:34:22.000,WATCHED
89,176,2005-05-25 23:34:53.000,WATCHED
472,963,2005-05-25 23:43:47.000,WATCHED
297,186,2005-05-25 23:45:52.000,WATCHED
357,368,2005-05-25 23:49:56.000,WATCHED
82,852,2005-05-25 23:59:03.000,WATCHED
433,313,2005-05-26 00:07:11.000,WATCHED
274,138,2005-05-26 00:17:50.000,WATCHED
142,924,2005-05-26 00:25:23.000,WATCHED
319,242,2005-05-26 00:28:05.000,WATCHED
429,202,2005-05-26 00:28:39.000,WATCHED
14,646,2005-05-26 00:37:28.000,WATCHED
57,575,2005-05-26 00:41:10.000,WATCHED
348,849,2005-05-26 00:47:47.000,WATCHED
185,299,2005-05-26 00:55:56.000,WATCHED
551,65,2005-05-26 01:15:05.000,WATCHED
462,702,2005-05-26 01:19:05.000,WATCHED
344,197,2005-05-26 01:25:21.000,WATCHED
354,523,2005-05-26 01:27:11.000,WATCHED
505,757,2005-05-26 01:34:28.000,WATCHED
290,410,2005-05-26 01:46:20.000,WATCHED
182,646,2005-05-26 01:51:48.000,WATCHED
296,272,2005-05-26 02:02:05.000,WATCHED
104,501,2005-05-26 02:26:23.000,WATCHED
151,239,2005-05-26 02:26:49.000,WATCHED
33,600,2005-05-26 02:28:36.000,WATCHED
322,850,2005-05-26 02:49:11.000,WATCHED
401,190,2005-05-26 02:50:31.000,WATCHED
469,595,2005-05-26 03:07:43.000,WATCHED
381,382,2005-05-26 03:09:30.000,WATCHED
107,806,2005-05-26 03:11:12.000,WATCHED
400,979,2005-05-26 03:14:15.000,WATCHED
176,630,2005-05-26 03:17:42.000,WATCHED
533,786,2005-05-26 03:42:10.000,WATCHED
552,862,2005-05-26 03:44:10.000,WATCHED
47,947,2005-05-26 03:46:26.000,WATCHED
250,187,2005-05-26 03:47:39.000,WATCHED
548,775,2005-05-26 04:14:29.000,WATCHED
196,326,2005-05-26 04:21:46.000,WATCHED
19,563,2005-05-26 04:26:06.000,WATCHED
75,603,2005-05-26 04:46:23.000,WATCHED
587,527,2005-05-26 04:47:06.000,WATCHED
237,961,2005-05-26 04:49:17.000,WATCHED
254,631,2005-05-26 05:01:18.000,WATCHED
556,429,2005-05-26 05:29:49.000,WATCHED
125,571,2005-05-26 05:30:03.000,WATCHED
468,391,2005-05-26 05:32:52.000,WATCHED
515,872,2005-05-26 05:42:37.000,WATCHED
243,734,2005-05-26 05:47:12.000,WATCHED
247,219,2005-05-26 06:01:41.000,WATCHED
533,863,2005-05-26 06:11:28.000,WATCHED
412,951,2005-05-26 06:14:06.000,WATCHED
437,413,2005-05-26 06:20:37.000,WATCHED
270,851,2005-05-26 06:41:48.000,WATCHED
29,295,2005-05-26 06:52:33.000,WATCHED
564,112,2005-05-26 06:52:36.000,WATCHED
184,43,2005-05-26 06:55:58.000,WATCHED
546,915,2005-05-26 06:59:21.000,WATCHED
54,388,2005-05-26 07:03:49.000,WATCHED
71,462,2005-05-26 07:11:58.000,WATCHED
321,856,2005-05-26 07:12:21.000,WATCHED
444,169,2005-05-26 07:13:45.000,WATCHED
20,147,2005-05-26 07:27:36.000,WATCHED
109,740,2005-05-26 07:27:57.000,WATCHED
528,401,2005-05-26 07:30:37.000,WATCHED
114,68,2005-05-26 07:59:37.000,WATCHED
345,374,2005-05-26 08:01:54.000,WATCHED
47,21,2005-05-26 08:04:38.000,WATCHED
274,803,2005-05-26 08:10:22.000,WATCHED
379,159,2005-05-26 08:14:01.000,WATCHED
391,391,2005-05-26 08:14:15.000,WATCHED
170,872,2005-05-26 08:33:10.000,WATCHED
59,167,2005-05-26 08:34:41.000,WATCHED
394,329,2005-05-26 08:44:08.000,WATCHED
98,319,2005-05-26 08:48:49.000,WATCHED
197,149,2005-05-26 09:02:47.000,WATCHED
91,306,2005-05-26 09:17:43.000,WATCHED
121,961,2005-05-26 09:24:26.000,WATCHED
309,496,2005-05-26 09:27:09.000,WATCHED
489,676,2005-05-26 09:41:45.000,WATCHED
542,279,2005-05-26 10:06:49.000,WATCHED
143,783,2005-05-26 10:14:09.000,WATCHED
83,602,2005-05-26 10:14:38.000,WATCHED
460,686,2005-05-26 10:15:23.000,WATCHED
318,933,2005-05-26 10:18:27.000,WATCHED
467,141,2005-05-26 10:27:50.000,WATCHED
221,911,2005-05-26 10:44:04.000,WATCHED
301,48,2005-05-26 10:51:46.000,WATCHED
571,113,2005-05-26 10:54:28.000,WATCHED
312,251,2005-05-26 11:19:20.000,WATCHED
58,242,2005-05-26 11:31:50.000,WATCHED
365,878,2005-05-26 11:31:59.000,WATCHED
256,646,2005-05-26 11:38:05.000,WATCHED
531,156,2005-05-26 11:43:44.000,WATCHED
566,292,2005-05-26 11:47:20.000,WATCHED
119,773,2005-05-26 11:51:09.000,WATCHED
446,280,2005-05-26 11:53:49.000,WATCHED
536,54,2005-05-26 12:15:13.000,WATCHED
211,112,2005-05-26 12:30:22.000,WATCHED
49,26,2005-05-26 12:30:26.000,WATCHED
103,749,2005-05-26 12:40:23.000,WATCHED
245,970,2005-05-26 12:49:01.000,WATCHED
214,454,2005-05-26 13:05:08.000,WATCHED
543,375,2005-05-26 13:06:05.000,WATCHED
257,232,2005-05-26 13:40:40.000,WATCHED
158,668,2005-05-26 13:46:59.000,WATCHED
240,621,2005-05-26 13:57:07.000,WATCHED
102,892,2005-05-26 14:01:05.000,WATCHED
545,416,2005-05-26 14:07:58.000,WATCHED
472,530,2005-05-26 14:19:09.000,WATCHED
539,81,2005-05-26 14:30:24.000,WATCHED
204,948,2005-05-26 14:35:40.000,WATCHED
187,267,2005-05-26 14:39:53.000,WATCHED
416,650,2005-05-26 14:43:14.000,WATCHED
390,398,2005-05-26 14:43:48.000,WATCHED
114,719,2005-05-26 14:52:15.000,WATCHED
436,702,2005-05-26 15:20:58.000,WATCHED
373,563,2005-05-26 15:27:05.000,WATCHED
502,773,2005-05-26 15:28:14.000,WATCHED
482,6,2005-05-26 15:32:46.000,WATCHED
21,96,2005-05-26 15:42:20.000,WATCHED
414,301,2005-05-26 15:44:23.000,WATCHED
236,927,2005-05-26 15:46:56.000,WATCHED
449,256,2005-05-26 15:47:40.000,WATCHED
251,449,2005-05-26 16:00:49.000,WATCHED
303,492,2005-05-26 16:07:38.000,WATCHED
263,727,2005-05-26 16:08:05.000,WATCHED
417,268,2005-05-26 16:16:21.000,WATCHED
75,374,2005-05-26 16:19:08.000,WATCHED
322,767,2005-05-26 16:19:46.000,WATCHED
200,46,2005-05-26 16:20:56.000,WATCHED
92,521,2005-05-26 16:22:01.000,WATCHED
71,216,2005-05-26 16:27:11.000,WATCHED
193,349,2005-05-26 16:29:36.000,WATCHED
311,142,2005-05-26 16:48:51.000,WATCHED
133,374,2005-05-26 17:09:53.000,WATCHED
58,271,2005-05-26 17:16:07.000,WATCHED
45,308,2005-05-26 17:32:11.000,WATCHED
214,40,2005-05-26 17:40:58.000,WATCHED
384,143,2005-05-26 18:02:50.000,WATCHED
167,413,2005-05-26 18:36:58.000,WATCHED
582,269,2005-05-26 18:49:35.000,WATCHED
282,980,2005-05-26 18:56:26.000,WATCHED
242,772,2005-05-26 19:05:05.000,WATCHED
359,77,2005-05-26 19:21:44.000,WATCHED
162,545,2005-05-26 19:41:40.000,WATCHED
371,70,2005-05-26 19:44:51.000,WATCHED
17,792,2005-05-26 19:44:54.000,WATCHED
82,775,2005-05-26 19:47:49.000,WATCHED
81,534,2005-05-26 20:01:09.000,WATCHED
429,609,2005-05-26 20:08:33.000,WATCHED
577,109,2005-05-26 20:20:47.000,WATCHED
515,927,2005-05-26 20:22:12.000,WATCHED
158,397,2005-05-26 20:27:02.000,WATCHED
369,603,2005-05-26 20:29:57.000,WATCHED
65,878,2005-05-26 20:33:20.000,WATCHED
468,848,2005-05-26 20:35:19.000,WATCHED
48,349,2005-05-26 20:48:48.000,WATCHED
460,241,2005-05-26 20:52:26.000,WATCHED
448,956,2005-05-26 20:55:36.000,WATCHED
47,56,2005-05-26 20:57:00.000,WATCHED
274,756,2005-05-26 21:06:14.000,WATCHED
387,641,2005-05-26 21:13:46.000,WATCHED
596,246,2005-05-26 21:16:52.000,WATCHED
534,370,2005-05-26 21:21:28.000,WATCHED
464,585,2005-05-26 21:22:07.000,WATCHED
547,610,2005-05-26 21:31:57.000,WATCHED
375,244,2005-05-26 21:48:13.000,WATCHED
277,42,2005-05-26 22:01:39.000,WATCHED
251,424,2005-05-26 22:38:10.000,WATCHED
409,129,2005-05-26 22:41:07.000,WATCHED
201,621,2005-05-26 22:51:37.000,WATCHED
143,437,2005-05-26 22:52:19.000,WATCHED
594,902,2005-05-26 22:56:19.000,WATCHED
203,625,2005-05-26 23:09:41.000,WATCHED
238,624,2005-05-26 23:12:55.000,WATCHED
249,838,2005-05-26 23:22:55.000,WATCHED
391,6,2005-05-26 23:23:56.000,WATCHED
60,561,2005-05-26 23:37:39.000,WATCHED
77,664,2005-05-26 23:52:13.000,WATCHED
2,243,2005-05-27 00:09:24.000,WATCHED
496,994,2005-05-27 00:47:35.000,WATCHED
144,514,2005-05-27 00:49:27.000,WATCHED
292,738,2005-05-27 01:00:04.000,WATCHED
449,551,2005-05-27 01:09:55.000,WATCHED
432,867,2005-05-27 01:10:11.000,WATCHED
105,588,2005-05-27 01:18:57.000,WATCHED
451,554,2005-05-27 01:29:31.000,WATCHED
231,583,2005-05-27 01:57:14.000,WATCHED
248,336,2005-05-27 02:15:30.000,WATCHED
67,408,2005-05-27 02:22:26.000,WATCHED
299,334,2005-05-27 02:27:10.000,WATCHED
412,871,2005-05-27 02:52:21.000,WATCHED
194,865,2005-05-27 03:03:07.000,WATCHED
16,309,2005-05-27 03:07:10.000,WATCHED
275,393,2005-05-27 03:15:23.000,WATCHED
19,164,2005-05-27 03:22:30.000,WATCHED
165,570,2005-05-27 03:42:52.000,WATCHED
516,526,2005-05-27 03:47:18.000,WATCHED
209,210,2005-05-27 03:55:25.000,WATCHED
56,906,2005-05-27 04:01:42.000,WATCHED
539,875,2005-05-27 04:11:04.000,WATCHED
455,727,2005-05-27 04:13:41.000,WATCHED
236,505,2005-05-27 04:30:22.000,WATCHED
144,305,2005-05-27 04:32:25.000,WATCHED
14,941,2005-05-27 04:34:41.000,WATCHED
378,355,2005-05-27 04:40:33.000,WATCHED
473,396,2005-05-27 04:50:56.000,WATCHED
36,641,2005-05-27 04:53:11.000,WATCHED
9,604,2005-05-27 05:01:28.000,WATCHED
118,739,2005-05-27 05:39:03.000,WATCHED
157,953,2005-05-27 05:48:19.000,WATCHED
503,869,2005-05-27 06:03:39.000,WATCHED
452,447,2005-05-27 06:12:26.000,WATCHED
446,28,2005-05-27 06:15:33.000,WATCHED
382,628,2005-05-27 06:32:30.000,WATCHED
198,966,2005-05-27 06:37:15.000,WATCHED
102,418,2005-05-27 06:43:59.000,WATCHED
152,255,2005-05-27 06:48:33.000,WATCHED
594,764,2005-05-27 06:51:14.000,WATCHED
587,1,2005-05-27 07:03:28.000,WATCHED
147,504,2005-05-27 07:10:25.000,WATCHED
345,932,2005-05-27 07:14:00.000,WATCHED
430,182,2005-05-27 07:20:12.000,WATCHED
167,634,2005-05-27 07:31:20.000,WATCHED
134,79,2005-05-27 07:33:54.000,WATCHED
439,753,2005-05-27 07:37:02.000,WATCHED
361,275,2005-05-27 07:42:29.000,WATCHED
508,209,2005-05-27 07:46:49.000,WATCHED
22,735,2005-05-27 07:49:43.000,WATCHED
295,273,2005-05-27 08:08:18.000,WATCHED
510,891,2005-05-27 08:13:58.000,WATCHED
464,360,2005-05-27 08:16:25.000,WATCHED
337,966,2005-05-27 08:26:30.000,WATCHED
306,394,2005-05-27 08:49:21.000,WATCHED
542,702,2005-05-27 08:58:15.000,WATCHED
170,661,2005-05-27 09:04:05.000,WATCHED
53,484,2005-05-27 09:23:22.000,WATCHED
584,759,2005-05-27 09:25:32.000,WATCHED
176,385,2005-05-27 09:34:39.000,WATCHED
371,603,2005-05-27 09:43:25.000,WATCHED
183,949,2005-05-27 10:12:00.000,WATCHED
298,213,2005-05-27 10:12:20.000,WATCHED
371,202,2005-05-27 10:18:20.000,WATCHED
213,344,2005-05-27 10:23:25.000,WATCHED
109,285,2005-05-27 10:26:31.000,WATCHED
506,589,2005-05-27 10:35:27.000,WATCHED
28,96,2005-05-27 10:37:27.000,WATCHED
500,151,2005-05-27 10:45:41.000,WATCHED
48,823,2005-05-27 11:02:26.000,WATCHED
197,474,2005-05-27 11:03:55.000,WATCHED
359,58,2005-05-27 11:14:42.000,WATCHED
251,30,2005-05-27 11:18:25.000,WATCHED
274,412,2005-05-27 11:26:11.000,WATCHED
575,164,2005-05-27 11:45:49.000,WATCHED
112,228,2005-05-27 11:47:04.000,WATCHED
544,912,2005-05-27 12:29:02.000,WATCHED
422,367,2005-05-27 12:44:03.000,WATCHED
204,120,2005-05-27 12:48:38.000,WATCHED
249,57,2005-05-27 12:51:44.000,WATCHED
46,471,2005-05-27 12:57:55.000,WATCHED
354,101,2005-05-27 13:17:18.000,WATCHED
424,868,2005-05-27 13:28:52.000,WATCHED
168,285,2005-05-27 13:31:51.000,WATCHED
272,891,2005-05-27 13:32:39.000,WATCHED
381,462,2005-05-27 13:46:46.000,WATCHED
44,240,2005-05-27 13:57:38.000,WATCHED
84,314,2005-05-27 13:57:39.000,WATCHED
220,797,2005-05-27 14:10:58.000,WATCHED
506,873,2005-05-27 14:11:22.000,WATCHED
388,314,2005-05-27 14:14:14.000,WATCHED
375,307,2005-05-27 14:17:23.000,WATCHED
307,770,2005-05-27 14:45:37.000,WATCHED
219,228,2005-05-27 14:48:20.000,WATCHED
304,809,2005-05-27 14:51:45.000,WATCHED
222,517,2005-05-27 15:02:10.000,WATCHED
475,487,2005-05-27 15:07:27.000,WATCHED
151,673,2005-05-27 15:13:17.000,WATCHED
77,552,2005-05-27 15:15:11.000,WATCHED
93,135,2005-05-27 15:19:38.000,WATCHED
246,654,2005-05-27 15:30:13.000,WATCHED
150,254,2005-05-27 15:31:55.000,WATCHED
284,387,2005-05-27 15:32:57.000,WATCHED
35,618,2005-05-27 15:34:01.000,WATCHED
182,331,2005-05-27 15:51:30.000,WATCHED
522,245,2005-05-27 15:56:57.000,WATCHED
288,366,2005-05-27 16:10:04.000,WATCHED
161,735,2005-05-27 16:10:58.000,WATCHED
498,25,2005-05-27 16:21:26.000,WATCHED
190,417,2005-05-27 16:22:10.000,WATCHED
334,984,2005-05-27 16:31:05.000,WATCHED
46,248,2005-05-27 16:40:29.000,WATCHED
574,951,2005-05-27 16:40:40.000,WATCHED
246,738,2005-05-27 16:54:27.000,WATCHED
3,732,2005-05-27 17:17:09.000,WATCHED
267,941,2005-05-27 17:21:04.000,WATCHED
525,391,2005-05-27 17:47:22.000,WATCHED
249,926,2005-05-27 17:52:34.000,WATCHED
319,78,2005-05-27 17:54:48.000,WATCHED
314,973,2005-05-27 18:00:35.000,WATCHED
54,346,2005-05-27 18:11:05.000,WATCHED
403,319,2005-05-27 18:12:13.000,WATCHED
547,439,2005-05-27 18:35:20.000,WATCHED
239,158,2005-05-27 18:39:15.000,WATCHED
293,382,2005-05-27 18:42:57.000,WATCHED
401,426,2005-05-27 18:48:41.000,WATCHED
133,850,2005-05-27 18:57:02.000,WATCHED
247,586,2005-05-27 19:03:08.000,WATCHED
172,540,2005-05-27 19:13:15.000,WATCHED
247,296,2005-05-27 19:18:54.000,WATCHED
87,45,2005-05-27 19:27:54.000,WATCHED
127,656,2005-05-27 19:30:33.000,WATCHED
529,967,2005-05-27 19:31:16.000,WATCHED
575,767,2005-05-27 19:31:36.000,WATCHED
343,735,2005-05-27 19:43:29.000,WATCHED
92,370,2005-05-27 19:50:06.000,WATCHED
300,516,2005-05-27 19:52:29.000,WATCHED
565,736,2005-05-27 19:58:36.000,WATCHED
468,130,2005-05-27 20:00:04.000,WATCHED
240,921,2005-05-27 20:02:03.000,WATCHED
447,450,2005-05-27 20:08:55.000,WATCHED
364,502,2005-05-27 20:10:36.000,WATCHED
21,181,2005-05-27 20:11:47.000,WATCHED
193,290,2005-05-27 20:42:44.000,WATCHED
261,4,2005-05-27 20:44:36.000,WATCHED
442,388,2005-05-27 20:57:07.000,WATCHED
557,75,2005-05-27 21:10:03.000,WATCHED
101,583,2005-05-27 21:13:10.000,WATCHED
154,975,2005-05-27 21:14:26.000,WATCHED
504,352,2005-05-27 21:17:08.000,WATCHED
209,629,2005-05-27 21:32:42.000,WATCHED
528,295,2005-05-27 21:36:15.000,WATCHED
105,174,2005-05-27 21:36:34.000,WATCHED
274,322,2005-05-27 22:11:56.000,WATCHED
159,554,2005-05-27 22:16:26.000,WATCHED
543,535,2005-05-27 22:31:36.000,WATCHED
161,531,2005-05-27 22:33:33.000,WATCHED
557,93,2005-05-27 22:38:20.000,WATCHED
231,447,2005-05-27 22:39:10.000,WATCHED
220,457,2005-05-27 22:47:39.000,WATCHED
445,15,2005-05-27 22:49:27.000,WATCHED
546,908,2005-05-27 22:53:02.000,WATCHED
32,330,2005-05-27 23:00:25.000,WATCHED
491,684,2005-05-27 23:26:45.000,WATCHED
105,522,2005-05-27 23:40:52.000,WATCHED
398,396,2005-05-27 23:51:12.000,WATCHED
569,826,2005-05-28 00:00:30.000,WATCHED
168,86,2005-05-28 00:07:50.000,WATCHED
476,422,2005-05-28 00:09:12.000,WATCHED
95,771,2005-05-28 00:09:56.000,WATCHED
196,293,2005-05-28 00:13:35.000,WATCHED
228,435,2005-05-28 00:24:58.000,WATCHED
501,40,2005-05-28 00:34:11.000,WATCHED
64,403,2005-05-28 00:39:31.000,WATCHED
526,226,2005-05-28 00:40:48.000,WATCHED
56,388,2005-05-28 00:43:41.000,WATCHED
20,578,2005-05-28 00:54:39.000,WATCHED
287,101,2005-05-28 01:01:21.000,WATCHED
199,519,2005-05-28 01:05:07.000,WATCHED
145,982,2005-05-28 01:05:25.000,WATCHED
162,131,2005-05-28 01:09:36.000,WATCHED
179,688,2005-05-28 01:34:43.000,WATCHED
288,659,2005-05-28 01:35:25.000,WATCHED
170,452,2005-05-28 02:05:34.000,WATCHED
111,15,2005-05-28 02:06:37.000,WATCHED
469,145,2005-05-28 02:09:19.000,WATCHED
421,790,2005-05-28 02:31:19.000,WATCHED
434,910,2005-05-28 02:40:50.000,WATCHED
147,748,2005-05-28 02:51:12.000,WATCHED
113,945,2005-05-28 02:52:14.000,WATCHED
296,838,2005-05-28 03:04:04.000,WATCHED
231,470,2005-05-28 03:07:50.000,WATCHED
489,50,2005-05-28 03:08:10.000,WATCHED
597,369,2005-05-28 03:09:28.000,WATCHED
110,739,2005-05-28 03:10:10.000,WATCHED
400,949,2005-05-28 03:11:47.000,WATCHED
403,52,2005-05-28 03:17:57.000,WATCHED
480,891,2005-05-28 03:18:02.000,WATCHED
245,778,2005-05-28 03:22:33.000,WATCHED
161,842,2005-05-28 03:27:37.000,WATCHED
374,524,2005-05-28 03:32:22.000,WATCHED
382,702,2005-05-28 03:33:20.000,WATCHED
138,415,2005-05-28 03:53:26.000,WATCHED
223,428,2005-05-28 03:57:28.000,WATCHED
14,395,2005-05-28 04:25:33.000,WATCHED
408,304,2005-05-28 04:27:37.000,WATCHED
169,59,2005-05-28 04:28:38.000,WATCHED
359,361,2005-05-28 04:30:05.000,WATCHED
469,575,2005-05-28 04:34:17.000,WATCHED
312,733,2005-05-28 05:13:01.000,WATCHED
589,247,2005-05-28 05:23:38.000,WATCHED
120,613,2005-05-28 05:36:58.000,WATCHED
528,938,2005-05-28 06:14:46.000,WATCHED
184,220,2005-05-28 06:15:25.000,WATCHED
307,915,2005-05-28 06:16:32.000,WATCHED
514,649,2005-05-28 06:17:33.000,WATCHED
315,680,2005-05-28 06:20:55.000,WATCHED
110,489,2005-05-28 06:21:05.000,WATCHED
161,751,2005-05-28 06:26:16.000,WATCHED
119,730,2005-05-28 06:40:25.000,WATCHED
535,363,2005-05-28 06:41:58.000,WATCHED
261,971,2005-05-28 06:42:13.000,WATCHED
493,116,2005-05-28 06:43:34.000,WATCHED
311,650,2005-05-28 07:03:00.000,WATCHED
54,242,2005-05-28 07:10:20.000,WATCHED
20,109,2005-05-28 07:16:25.000,WATCHED
506,448,2005-05-28 07:24:28.000,WATCHED
450,810,2005-05-28 07:34:56.000,WATCHED
159,395,2005-05-28 07:35:37.000,WATCHED
432,793,2005-05-28 07:39:16.000,WATCHED
315,686,2005-05-28 07:44:18.000,WATCHED
106,5,2005-05-28 07:53:38.000,WATCHED
176,298,2005-05-28 08:14:44.000,WATCHED
376,425,2005-05-28 08:23:16.000,WATCHED
55,961,2005-05-28 08:31:14.000,WATCHED
22,394,2005-05-28 08:31:36.000,WATCHED
444,34,2005-05-28 08:36:22.000,WATCHED
442,905,2005-05-28 08:38:43.000,WATCHED
